contract,1,2,3,4,5,6,7,8,9,10,11,12,invoice_type,billing_type,new_consumption,fraud_flag,SERVICE_STATUS,POWER_SUSCRIBED,TARIFF,ACTIVITY_CMS,READWITH,SEGMENT,agency,zone,block
200050051,597,582,419,257,242,184,176,203,182,214,0,0,0,1,0,0,1,6.6,1,6,1,4,830,6,18
200050053,273,307,35,0,0,652,305,416,268,295,0,0,0,1,0,0,4,2.2,1,6,1,5,830,6,18
